Reference,Title,Year,Month,Max,ESTIMATION,Min,Material,Data,Focus,ErrorMetric,Notes
Sarich and Wilson,Immunological time scale for hominid evolution,1967,Dec,NA,5,NA,immunology,,Y,None,Does not solve trichotomy. Calibration: Man-Old Monkeys 30 Ma
Wilson and Sarich,A Molecular Time Scale for Human Evolution,1969,May,5,4.5,4,immunology,,Y,SE,"""a divergence time of 4 to 5 million years is highly probable according to the protein clock approach."" Calibration: Man-Horse 75 Ma (But nowadays >95 Ma tend to be supported)."
Sarich,"Primate systematics with special reference to Old World monkeys: A protein perspective, in: Old World Monkeys",1970,Jun,NA,4.2,NA,immunology,,Y,None,"No estimate directly provided. Calculated from Sarich and Chronin (1976), used as calibration: catarrhine-platyrrhine split (35 Ma). However, more recente estimates put this split at 50 Ma (Antonelli et al. 2017)"
Hoyer et al.,Examination of hominoid evolution by DNA sequence homology,1972,Oct,NA,5.25,NA,immunology,,Y,None,"No estimate directly provided. Calculated from Sarich and Chronin (1976), used as calibration: catarrhine-platyrrhine split (35 Ma). However, more recente estimates put this split at 50 Ma (Antonelli et al. 2017)"
Kohne et al.,Evolution of primate DNA sequences,1972,Nov,NA,8,NA,DNA-DNA hybridization,,Y,None,See Table 7
Romero-Herrera et al.,Molecular Evolution of Myoglobin and the Fossil Record: a Phylogenetic Synthesis,1973,Dec,NA,14,NA,immunology,,N,None,See node 15 in Fig. 5 and Fig. 7
Goodman,"Protein sequence and immunological specificity; their role in phylogenetic studies of primates, in Phylogeny of the Primates",1975,Jun,NA,4.305,NA,immunology,,Y,None,"No estimate directly provided. Calculated from Sarich and Chronin (1976), used as calibration: catarrhine-platyrrhine split (35 Ma). However, more recente estimates put this split at 50 Ma (Antonelli et al. 2017)"
Sarich and Chronin,Molecular Systematics of the Primates in Advances in Primatology,1976,Jan,NA,4.55,NA,DNA-DNA hybridization,,Y,None,"Does not solve trichotomy. 4 estimates are provided in table 2, calibration: catarrhine-platyrrhine (35 Ma)"
Benveniste and Todaro,Evolution of type C viral genes: evidence for an Asian origin of man,1976,May,NA,12,NA,virogenes,,Y,None,"Virogenes? Does not solve trichotomy. ""Corrected for generation time"""
Goodman,Decoding the pattern of protein evolution,1981,Jan,NA,1.3,NA,DNA-DNA hybridization,,Y,None,"Calibrated to Eutherian node = 90 Ma. Weird they set for this value (1.3) in text, when other values (from 2 to 5 Mya) appear in the table."
Goodman,Decoding the pattern of protein evolution,1981,Jan,NA,2.2,NA,DNA-DNA hybridization,,Y,None,"Calibrated to Anthropoidea node = 35 Ma in a future paper (Sibley and Ahlquist, 1984)."
Sibley and Ahlquist,"The phylogeny of the hominoid primates, as indicated by DNA-DNA hybridization",1984,Feb,6.65,6.3,5.95,DNA-DNA hybridization,,Y,SE,"Calibration: 13 Mya Pongo node from Pilbeam 1983. Delta = 1.9.  SE =  0.1, SD = 0.3,  N=7 . This paper is very relevant, contains review of previous works."
Sibley and Ahlquist,"The phylogeny of the hominoid primates, as indicated by DNA-DNA hybridization",1984,Feb,8.17,7.74,7.31,DNA-DNA hybridization,,Y,SE,"Calibration: 16 Mya Pongo node from Pilbeam 1983. Delta = 1.9.  SE =  0.1, SD = 0.3,  N=7 . This paper is very relevant, contains review of previous works."
Hasegawa et al.,A New Molecular Clock of Mitochondrial DNA and the Evolution of Hominoids,1984,Apr,4.1,3.4,2.7,mtDNA,,Y,SE,Assumed a 90-Myr-ago divergence between bovids and primates. (Note that many papers suggest > 100 Ma for this node… e.g. 120 Ma [Arnasson et al. 2012] or even 170 Ma [Kang et al. 2008])
Hasegawa and Yano,Maximum likelihood method of phylogenetic inference from DNA sequence data,1984,Jul,5.7,5.2,4.7,DNA-DNA hybridization,,Y,SE,"""assuming that the divergence between Hominoidea and the New World monkeys occurred 38 Myr ago"""
Hasegawa and Yano,Phylogeny and classification of Hominoidea as inferred from DNA sequence data,1984,Dec,2.9,2.5,2.1,mtDNA,,Y,SE,They calibrated their data using an assumption that the divergence between primates and ungulates occurred 65 Myr ago (more recent papers suggest it can be 2x or even 2.5x this).
